Date,BLL,DISH,DVA,NEM,UDR,VFC
1/17/2012,17.02465439,28.31394005,39.36500168,49.84472656,17.51332092,24.88150787
1/18/2012,17.27677345,28.27501869,39.22499847,49.36213684,17.71977997,24.99402809
1/19/2012,17.48763847,29.17989731,39.875,48.74868774,17.57027245,24.96027565
1/20/2012,17.37761688,28.08042336,39.88499832,48.47877121,17.49196243,25.04279709
1/23/2012,17.32261086,27.85663414,40.22000122,48.47058868,17.4848423,24.81774139
1/24/2012,17.3042717,28.07069206,40.43500137,47.01468277,17.83369064,24.86087608
1/25/2012,17.28135681,27.94420242,40.93000031,49.28035736,18.21100998,25.17220306
1/26/2012,18.0422821,27.95393372,40.45000076,49.44394302,18.44594002,24.66958046
1/27/2012,18.07895851,26.893377299999997,40.57500076,50.3109436,18.51713371,24.53268051
1/30/2012,17.95977974,27.64257813,40.70000076,50.07374191,18.37474823,24.56830788
1/31/2012,17.99644852,27.16581345,40.90499878,50.28639984,18.52424812,24.66020584
2/1/2012,18.48234749,27.6620369,41.94499969,49.99194717,18.59544373,24.49328613
2/2/2012,18.19813538,27.60365868,41.43500137,50.94893265,18.57408905,24.37326241
2/3/2012,18.24397659,28.12907028,41.95999908,49.90197754,18.8374939,25.01654243
2/6/2012,18.33565903,27.80798531,42.11500168,49.80382919,18.55984688,24.89838791
2/7/2012,18.24397659,27.75933647,41.89500046,49.77928925,18.29643631,25.42538834
2/8/2012,18.26690292,27.19500351,41.84999847,49.64841843,18.42458344,26.18681717
2/9/2012,18.35399628,27.84690475,42.00500107,49.59934998,18.33914948,26.69318962
2/10/2012,18.24856758,27.73014641,41.98500061,48.76504898,18.06861687,26.44750404
2/13/2012,18.3173275,27.584197999999997,41.97999954,48.59329224,18.26795959,26.77195168
2/14/2012,18.27606964,27.59392929,42.375,48.06981277,18.15405273,26.93699646
2/15/2012,18.21189117,28.26528931,42.94499969,48.74868774,18.12557411,26.86573029
2/16/2012,18.48234749,28.74205399,42.74000168,49.42757034,18.18252373,27.741563800000005
2/17/2012,18.3860817,28.23610115,42.86000061,48.62600327,18.31779671,27.57840157
2/21/2012,18.44566917,27.98312378,43.0,50.33547974,17.89776039,27.163932799999998
2/22/2012,18.19813538,28.37231827,42.95999908,51.34971237,17.74825096,27.14703751
2/23/2012,18.26690292,28.81989288,42.98500061,52.18400192,17.94047737,26.98012733
2/24/2012,18.23480988,28.02204132,43.40000153,51.12886429,18.13981628,27.4602375
2/27/2012,18.28981781,28.40150833,43.10499954,50.31913376,18.15405273,27.77343369
2/28/2012,18.41388893,28.44042778,43.38000107,50.71172714,17.84080315,27.65716934
2/29/2012,18.41849327,28.38204765,43.27500153,48.60964966,17.81233025,27.39084625
3/1/2012,18.37253952,28.01231384,43.40999985,48.80595398,17.95471191,27.61403275
3/2/2012,18.29441452,28.47934723,43.36500168,48.22522354,17.96894836,27.61777115
3/5/2012,18.23926926,28.60583496,43.29999924,47.35820770000001,18.25371933,27.55963898
3/6/2012,18.05085182,28.74205399,42.92499924,46.76111603,18.14693642,27.16580200000001
3/7/2012,18.13357544,30.37667274,43.28499985,46.36033629999999,18.10421562,27.32600594
3/8/2012,18.32198906,30.50316048,43.90000153,46.58118439,17.91911316,27.58422852
3/9/2012,18.25305176,30.61018944,43.11000061,46.52393341,18.23236847,27.48056221
3/12/2012,18.23926926,30.259914399999996,43.125,45.59967422,18.38898659,27.66149521
3/13/2012,18.556348800000002,30.73667908,43.59000015,45.15519714,18.61680222,27.98003769
3/14/2012,18.51959229,30.53235054,43.95999908,44.694248200000004,18.49577332,27.70297241
3/15/2012,18.67123413,30.97019577,43.96500015,44.31562424,18.33203506,27.82547569
3/16/2012,19.02049255,30.65884018,44.29499817,44.24155426,18.37474823,27.84243774
3/19/2012,19.02049255,30.58099937,44.05500031,44.06045914,18.55984688,27.87448883
3/20/2012,18.96534348,30.35721397,43.77500153,44.18393707,18.55272865,28.03657913
3/21/2012,18.8780365,31.4761467,44.00500107,43.76415253,18.26083565,28.07239723
3/22/2012,18.76315117,32.0112915,43.70500183,43.13859177,17.94759178,28.08181953
3/23/2012,18.8826313,31.91399193,43.29999924,43.8876152,18.23236847,27.70673943
3/26/2012,19.08482933,32.13777924,44.22999954,43.99460602,18.31779671,28.52663994
3/27/2012,19.46165657,31.65128517,44.28499985,43.20444489,18.25371933,28.42673683
3/28/2012,19.50301361,31.59290886,44.125,42.38957214,18.31779671,28.05731201
3/29/2012,19.64547348,31.68047714,44.63999939,42.25787735,18.67375183,27.98191833
3/30/2012,19.70521164,32.04048157,45.08499908,42.20026779,19.01548195,27.5144825
